"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TORONTO TRANSIT COMMISSION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"       ANALYSIS OF RIDERSHIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"     1985 TO 2017 ACTUALS (000'S)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","  FARE MEDIA","2,017 ","2,016 "," 2015 *","2,014 ","2,013 ","2,012 ","2,011 ","2,010 ","2,009 ","2,008 ","2,007 ","2,006 ","2,005 ","2,004 ","2,003 ","2,002 ","2,001 ","2,000 ","1,999 ","1,998 ","1,997 ","1,996 ","1,995 ","1,994 ","1,993 ","1,992 ","1,991 ","1,990 ","1,989 ","1,988 ","1,987 ","1,986 ","1,985 "
"WHO","ADULT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","     TOKENS","76,106 ","102,073 ","110,945 ","111,157 ","112,360 ","117,962 ","124,748 ","120,366 ","114,686 ","94,210 ","69,134 ","75,340 ","82,162 ","80,859 ","80,330 ","82,102 ","83,771 ","82,218 ","83,028 ","85,303 ","86,991 ","87,857 ","87,775 ","97,877 ","104,016 ","114,064 ","111,365 ","119,538 ","114,874 ","122,180 ","127,088 ","126,217 ","128,207 "
"","     TICKETS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1,298 ","8,807 ","34,445 ","65,398 ","68,546 ","73,151 ","72,952 ","71,485 ","74,578 ","70,930 ","66,331 ","64,109 ","66,490 ","66,177 ","67,164 ","70,369 ","62,700 ","57,710 ","53,655 ","35,788 ","38,369 ","37,401 ","39,514 ","38,944 ","42,052 ","48,793 "
"","    TWO-FARE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4,329 ","12,525 ","13,265 ","12,894 ","11,201 ","17,927 ","22,313 ","27,025 ","18,837 ","8,976 ","7,347 ","N/A"
"","     PRESTO - SINGLE RIDE","67,829 ","27,397 ","13,323 ","9,862 ","8,194 ","4,399 ","1,139 ","0 ","0 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     PRESTO - SRVM TOKEN RIDE","1,271 ","1,157 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     PRESTO - SRVM CASH RIDE","821 ","582 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     PRESTO - MONTHLY PASS","1,613 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     REGULAR MONTHLY PASS","174,549 ","194,820 ","204,509 ","214,932 ","213,982 ","205,086 ","194,928 ","203,101 ","208,172 ","203,313 ","195,001 ","171,314 ","140,594 ","125,836 ","119,681 ","116,805 ","118,176 ","112,081 ","103,447 ","98,473 ","91,521 ","86,549 ","96,803 ","96,907 ","100,607 ","109,509 ","108,148 ","116,610 ","113,506 ","119,264 ","109,151 ","101,901 ","94,970 "
"","     POST-SECONDARY PASS","52,721 ","51,861 ","48,396 ","42,855 ","38,426 ","35,019 ","32,091 ","9,200 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     TWIN-GO PASS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","762 ","1,118 ","1,105 ","1,430 ","1,649 ","1,592 ","1,652 ","1,976 ","2,111 ","2,514 ","2,924 ","3,235 ","2,758 ","N/A","N/A","N/A","N/A","N/A"
"","     WEEKLY PASS","6,653 ","7,547 ","8,843 ","9,361 ","9,557 ","10,185 ","9,893 ","9,237 ","8,738 ","7,517 ","7,126 ","5,413 ","1,296 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     CASH","36,045 ","41,536 ","48,873 ","49,120 ","48,623 ","46,467 ","43,795 ","43,149 ","41,445 ","39,408 ","36,317 ","38,684 ","47,521 ","55,172 ","51,328 ","51,052 ","58,400 ","61,539 ","54,835 ","49,658 ","46,209 ","32,642 ","20,930 ","20,708 ","22,131 ","23,696 ","60,034 ","67,296 ","65,665 ","66,872 ","75,308 ","66,475 ","63,986 "
"","  SUB-TOTAL","417,608 ","426,973 ","434,889 ","437,287 ","431,142 ","419,118 ","406,594 ","386,351 ","381,848 ","378,893 ","372,976 ","359,297 ","344,724 ","334,819 ","322,824 ","325,299 ","332,395 ","323,274 ","306,849 ","301,573 ","292,490 ","280,193 ","290,378 ","293,568 ","299,872 ","315,049 ","336,497 ","366,884 ","358,471 ","366,667 ","359,467 ","343,992 ","335,956 "
"","SENIOR/STUDENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","     MONTHLY PASS","27,324 ","27,621 ","25,092 ","23,064 ","20,509 ","19,769 ","18,590 ","17,169 ","15,331 ","14,864 ","14,506 ","12,931 ","11,068 ","9,940 ","10,586 ","11,123 ","12,397 ","11,785 ","10,124 ","9,419 ","8,647 ","9,098 ","11,028 ","10,716 ","10,508 ","10,389 ","5,850 ","5,117 ","4,570 ","4,541 ","3,855 ","3,288 ","2,519 "
"","     WEEKLY PASS","1,011 ","959 ","672 ","515 ","540 ","624 ","702 ","814 ","874 ","780 ","686 ","372 ","93 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     TICKETS","31,195 ","32,997 ","32,595 ","33,408 ","35,472 ","37,039 ","38,299 ","38,674 ","38,615 ","39,097 ","40,181 ","40,808 ","42,746 ","41,562 ","41,844 ","44,018 ","44,012 ","43,885 ","44,263 ","46,559 ","48,306 ","52,852 ","58,515 ","56,539 ","56,625 ","57,082 ","56,559 ","61,358 ","61,837 ","65,708 ","65,927 ","62,963 ","61,193 "
"","    TWO-FARE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","93 ","63 ","N/A","N/A","N/A"
"","     PRESTO - SINGLE RIDE","5,703 ","1,421 ","438 ","12 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     PRESTO - SRVM CASH RIDE","253 ","210 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     PRESTO - MONTHLY PASS","26 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     CASH","12,532 ","10,440 ","12,170 ","12,037 ","8,538 ","8,164 ","7,609 ","5,856 ","5,526 ","5,253 ","4,211 ","4,581 ","6,549 ","7,602 ","6,759 ","6,440 ","7,507 ","7,921 ","7,481 ","7,197 ","7,665 ","8,114 ","5,202 ","4,772 ","4,703 ","3,725 ","6,030 ","6,324 ","6,267 ","6,359 ","7,449 ","10,852 ","13,117 "
"","  SUB-TOTAL","78,044 ","73,648 ","70,967 ","69,036 ","65,059 ","65,596 ","65,200 ","62,513 ","60,346 ","59,994 ","59,584 ","58,692 ","60,456 ","59,104 ","59,189 ","61,581 ","63,916 ","63,591 ","61,868 ","63,175 ","64,618 ","70,064 ","74,745 ","72,027 ","71,836 ","71,196 ","68,439 ","72,799 ","72,767 ","76,671 ","77,231 ","77,103 ","76,829 "
"","CHILDREN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","     FREE RIDES","24,856 ","21,875 ","10,939 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     TICKETS","0 ","0 ","1,066 ","7,097 ","7,563 ","7,929 ","8,304 ","8,287 ","8,562 ","8,782 ","8,959 ","8,879 ","8,143 ","7,573 ","7,915 ","8,869 ","9,133 ","9,401 ","9,186 ","9,640 ","9,667 ","10,129 ","11,338 ","12,192 ","12,193 ","11,569 ","11,722 ","12,417 ","12,261 ","13,194 ","12,581 ","12,074 ","10,884 "
"","     PRESTO - FREE CHILD RIDE","163 ","36 ","10 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","     CASH","0 ","0 ","526 ","3,705 ","2,708 ","2,589 ","2,433 ","2,539 ","2,410 ","2,253 ","1,933 ","2,168 ","3,916 ","4,514 ","4,072 ","3,938 ","3,999 ","4,203 ","4,209 ","4,344 ","4,313 ","3,674 ","2,877 ","2,717 ","2,486 ","1,860 ","2,546 ","3,071 ","2,916 ","3,175 ","3,526 ","3,844 ","4,768 "
"","  SUB-TOTAL","25,019 ","21,911 ","12,541 ","10,802 ","10,271 ","10,518 ","10,737 ","10,826 ","10,972 ","11,035 ","10,892 ","11,047 ","12,059 ","12,087 ","11,987 ","12,807 ","13,132 ","13,604 ","13,395 ","13,984 ","13,980 ","13,803 ","14,215 ","14,909 ","14,679 ","13,429 ","14,268 ","15,488 ","15,177 ","16,369 ","16,107 ","15,918 ","15,652 "
